TF-IDF,TF-IDF_Z,sub_indicator,freq_count,term_rank
0.01332273031022834,3.526036795765106,evaluation,89,51
0.013803269297151559,3.6697848184139596,high,87,52
0.010280499395195807,2.6159864348627284,finding,87,53
0.013217055213262678,3.4944252373995686,outcome,86,54
0.016945064782357487,4.609618839909511,treatment,86,55
0.012853119849038181,3.385557922982017,assessment,86,56
0.019625239499732872,5.411364018678366,solving,84,57
0.011604027739027129,3.0119055746678476,district,84,58
0.017726380598151046,4.843340986584251,mathematical,84,59
0.012641035413339663,3.3221151657950108,education,82,60
0.013482140581230236,3.5737226482557842,effectiveness,80,61
0.012755011042334704,3.35620973823147,comparison,80,62
0.012577977876719503,3.3032521880784826,difference,79,63
0.013993829286208515,3.726788770992944,development,78,64
0.018186716977608104,4.981045618468485,fraction,76,65
0.015555621105787568,4.193981843694692,algebra,74,66
0.013856231360199608,3.685627844777557,middle,73,67
0.014143120977274284,3.7714477601126695,project,73,68
0.013454926283932299,3.5655817865758523,method,68,69
0.012186884787009038,3.186260934824576,academic,67,70
0.012057481712631341,3.1475514095359474,model,66,71
0.012301418166243161,3.220522352191794,compared,65,72
0.010574760623809944,2.7040114877857766,state,63,73
0.01065057312873978,2.7266899758424836,significantly,61,74
0.010335908481719764,2.6325614617416,gain,60,75
0.010215115382588992,2.5964275171040345,randomly,60,76
0.0111986638818286,2.890645376200515,effective,60,77
0.010897612356399139,2.8005890796802477,class,58,78
0.008842646465826082,2.1858683360584283,improve,57,79
0.013388005398592247,3.545563130018689,experimental,56,80
0.010250512623716072,2.6070162176209717,positive,56,81
0.0,0.0,5,55,82
0.015170562886861354,4.078795856539447,seed,55,83
0.010414738071877233,2.65614247809973,different,54,84
0.009727958649638001,2.4506998675533653,received,53,85
0.011640005080512925,3.022667805911266,understanding,53,86
0.008080440105041192,1.9578625754546317,figure,52,87
0.009805388882300802,2.473862281304191,higher,51,88
0.010596279396467978,2.710448595083206,improved,50,89
0.007883196663567203,1.898859340620595,support,49,90
0.008477055726842765,2.076505834247557,information,49,91
0.008032120344992896,1.9434082436504996,present,48,92
0.00927236227941341,2.3144131579877083,standard,48,93
0.008181454469250166,1.988079926198935,evidence,48,94
0.008953718963086747,2.2190944681442355,activity,47,95
0.00989629332027092,2.5010553573371617,indicated,46,96
0.01065071967265337,2.7267338128637935,approach,46,97
0.008041819500468143,1.9463096407459934,included,46,98
0.008078041848385818,1.9571451630044538,based,46,99
0.00736073410134034,1.7425703354161846,purpose,46,100
0.01628027821769536,4.410755154018872,disability,45,101
0.007362937515422314,1.743229462825156,design,45,102
0.008650349522589838,2.1283447924878716,concept,45,103
0.008216988743249023,1.9987096186122466,new,43,104
0.009621690306372346,2.4189108459956863,course,43,105
0.009905824857551192,2.503906613268789,childrens,43,106
0.01151871014532832,2.9863837424646227,transfer,43,107
0.011561155805032983,2.999080900902563,conceptual,42,108
0.007239850325211036,1.7064092657386256,survey,42,109
0.009887179526443015,2.498329064825541,posttest,42,110
0.008737031613013651,2.1542747990774997,greater,42,111
0.010805058567379856,2.772902618181325,tutoring,41,112
0.00794510973785863,1.9173799648523315,reading,41,113
0.011582558833488257,3.005483384577908,word,41,114
0.006699097130314536,1.5446488162793146,cohort,41,115
0.008259868173298872,2.01153653474124,randomized,41,116
0.007707003805427816,1.8461531593291411,science,41,117
0.008104988684828514,1.9652060166722929,better,41,118
0.007249448541806629,1.7092804680637605,college,40,119
0.0077982583921871835,1.8734509785722515,professional,40,120
0.007898291964026992,1.9033749359238574,type,40,121
0.006546648234007589,1.4990453834768371,statistically,40,122
0.007119869957774963,1.670518440966953,public,40,123
0.009172415452623806,2.2845151494764266,traditional,40,124
0.008307853441328426,2.025890806888207,showed,40,125
0.011362622397803356,2.9396917868127246,problemsolving,39,126
0.009123462924674992,2.269871532022284,numerical,39,127
0.009659837302363066,2.430322105836994,grader,39,128
0.007504688091225713,1.785632609157861,progress,39,129
0.009266104148530277,2.312541106053508,experiment,39,130
0.008479507845434846,2.077239358911537,examined,38,131
0.00841771209879944,2.0587538319747423,ability,38,132
0.007501288507739734,1.784615660653707,time,38,133
0.004172539727329682,0.7888565899018003,start,38,134
0.006627315824515997,1.5231762176921342,national,38,135
0.010589819927518986,2.708516315051726,solution,38,136
0.008043102532812131,1.9466934459469485,paper,38,137
0.007876639750291403,1.8968979111763138,university,38,138
0.007187056764886748,1.6906166451360816,relationship,37,139
0.007089248159471121,1.6613582623427103,retention,37,140
0.009793755352891904,2.4703822372402047,cognitive,37,141
0.0,0.0,6,37,142
0.006810044331343519,1.5778374673572542,experience,36,143
0.006691434214122227,1.5423565380660087,teach,36,144
0.007576351897310396,1.8070700589808657,fourth,36,145
0.009321805775816058,2.3292036433263346,example,36,146
0.008604134748800807,2.114520144477785,attitude,36,147
0.007393203334833076,1.7522831542269726,early,35,148
0.0075905682649181185,1.81132273106049,procedure,35,149
0.006654797629363758,1.5313971013523364,author,35,150
0.005981052493538144,1.3298535561255063,educational,35,151
0.005984489653105732,1.33088174510666,dissertation,35,152
0.007028225549179931,1.64310401075244,change,35,153
0.007789469808818735,1.8708219692400683,comparing,34,154
0.005819050691783787,1.2813924753361106,permission,34,155
0.00475333172022098,0.9625942112402136,following,34,156
0.008906690005572473,2.205026265909077,training,34,157
0.006774018575650464,1.5670607535291734,week,33,158
0.006007075953436213,1.3376381917214248,average,33,159
0.006151199434907678,1.3807511670315884,improving,33,160
0.008911968251802486,2.206605195983984,procedural,33,161
0.0037807654048895,0.6716615532702173,head,33,162
0.004471631031393717,0.8783265074748807,sample,33,163
